	Dataset	No. topics	Label type	Score	Distributions
33	TB-BGL-cross	32	multiclass	0.11905898293520784	[0.017897091722595078, 0.1751412429378531, 0.013157894736842105, 0.25, 0.6666666666666666, 0.16666666666666666, 0.35714285714285715, 0.75, 1.0]
34	TB-BGL-cross	32	binary	0.12788317475158661	[0.019079685746352413, 0.041666666666666664, 0.13744075829383887, 0.7, 0.5, 1.0, 0.1, 0.25, 0.5, 1.0]
35	TB-BGL-cross	32	unsupervised	0.08998673349970936	[0.016412661195779603, 0.1650943396226415, 0.047619047619047616, 0.08333333333333333, 0.5555555555555556, 0.125, 0.6666666666666666, 0.5]
36	BGL-TB-cross	4	multiclass	0.0006097623307918377	[0.0019479369576766426, 0.0005931198102016608, 0.00035829451809387314]
37	BGL-TB-cross	4	binary	0.001129071223088439	[0.0016770849214819332, 0.0005810575246949448]
38	BGL-TB-cross	4	unsupervised	0.001834251325236942	[0.0017280110592707793, 0.0019404915912031048]
39	BGL-TB-cross	8	multiclass	0.002087311053564869	[0.001763046544428773, 0.002411575562700965]
40	BGL-TB-cross	8	binary	0.0006164730765601504	[0.0006472491909385113, 0.001651899684637333, 0.0006321112515802782]
41	BGL-TB-cross	8	unsupervised	0.002036417378904475	[0.0016884761502743773, 0.002384358607534573]
42	BGL-TB-cross	16	multiclass	0.0031270037851493303	[0.001722488038277512, 0.00035161744022503517, 0.003663003663003663, 0.006756756756756757, 0.023809523809523808]
43	BGL-TB-cross	16	binary	0.0057429237198859	[0.001291822761917065, 0.0010298661174047373, 0.03225806451612903, 0.011363636363636364]
44	BGL-TB-cross	16	unsupervised	0.006835738968275776	[0.0012919896640826874, 0.025, 0.006211180124223602]
45	BGL-TB-cross	32	multiclass	0.005891404848980719	[0.0015479876160990713, 0.00036010082823190496, 0.00819672131147541, 0.034482758620689655, 0.023809523809523808]
46	BGL-TB-cross	32	binary	0.005050723129159094	[0.0005060728744939271, 0.0015120967741935483, 0.024390243902439025, 0.0028169014084507044, 0.029411764705882353]
47	BGL-TB-cross	32	unsupervised	0.004423544100217667	[0.00199203187250996, 0.007547169811320755, 0.011494252873563218]
48	all	4	multiclass	0.009975109327757454	[0.0071179546775130735, 0.012832263978001834]
49	all	4	binary	0.0074636663925378224	[0.010441016051114228, 0.004486316733961417]
50	all	4	unsupervised	0.03837710367846503	[0.008152569515213277, 0.007659574468085106, 0.16666666666666666]
51	all	8	multiclass	0.005585806592118289	[0.0067147893234849754, 0.014274061990212071, 0.005571030640668524]
52	all	8	binary	0.006036398072156341	[0.010390083849799489, 0.0032935364347468094, 0.015018773466833541]
53	all	8	unsupervised	0.023089761554610996	[0.005177220230983672, 0.009729551451187335, 0.0031446540880503146, 0.16666666666666666]
54	all	16	multiclass	0.020674055087889852	[0.004056403322387483, 0.012525252525252526, 0.006578947368421052, 0.027287319422150885, 0.020202020202020204, 0.25]
55	all	16	binary	0.008759133964413541	[0.011787072243346007, 0.005471380471380472, 0.024390243902439025]
56	all	16	unsupervised	0.02846476193318078	[0.007322654462242563, 0.007669831994156318, 0.005780346820809248, 0.02, 0.23404255319148937, 0.16666666666666666]
57	all	32	multiclass	0.027014908080884244	[0.003329633740288568, 0.03, 0.011254689453939141, 0.04918032786885246, 0.014492753623188406, 0.029411764705882353, 0.010752688172043012, 0.07042253521126761, 0.42857142857142855, 0.25]
58	all	32	binary	0.01597801056748956	[0.007481296758104738, 0.012773722627737226, 0.007692307692307693, 0.004, 0.024691358024691357, 0.007352941176470588, 0.25]
59	all	32	unsupervised	0.02121461857631007	[0.004935459377372817, 0.0036231884057971015, 0.006076975016880486, 0.0111731843575419, 0.024390243902439025, 0.01282051282051282, 0.012048192771084338, 0.10256410256410256, 0.14893617021276595, 0.08571428571428572, 0.018518518518518517, 0.4230769230769231, 0.16666666666666666]
